Total length (mm) = 50	
Gage length (mm) = 5.1	
Width (mm) = 2.21	
Thickness (mm) = 0.95	
----------	
Time (s)	Displacement (mm)	Force (N)	Eng. strain	Eng. stress (MPa)	
35.70000000	0.18014278	864.58428400	0.03532211	411.80485068	
35.80000000	0.18064738	866.51682200	0.03542105	412.72532603	
35.90000000	0.18115198	868.20286300	0.03552000	413.52839390	
36.00000000	0.18165658	870.05652100	0.03561894	414.41129840	
36.10000000	0.18216118	871.78200200	0.03571788	415.23315170	
36.20000000	0.18266578	873.51734200	0.03581682	416.05970088	
36.30000000	0.18317038	875.32170100	0.03591576	416.91912408	
36.40000000	0.18367499	877.03732100	0.03601470	417.73628054	
36.50000000	0.18417959	878.71350200	0.03611364	418.53465206	
36.60000000	0.18468419	880.24178400	0.03621259	419.26257871	
36.70000000	0.18518879	881.93768500	0.03631153	420.07034294	
36.80000000	0.18569339	883.56456600	0.03641047	420.84523267	
36.90000000	0.18619799	885.45766400	0.03650941	421.74692260	
37.00000000	0.18670260	887.10426500	0.03660835	422.53120505	
37.10000000	0.18720720	888.94806400	0.03670729	423.40941367	
37.20000000	0.18771180	890.83130200	0.03680624	424.30640724	
37.30000000	0.18821640	892.40888400	0.03690518	425.05781567	
37.40000000	0.18872100	894.08506400	0.03700412	425.85618671	
37.50000000	0.18922560	895.67250600	0.03710306	426.61229150	
37.60000000	0.18973021	897.13176900	0.03720200	427.30734413	
37.70000000	0.19023481	898.63047200	0.03730094	428.02118219	
37.80000000	0.19073941	900.31651200	0.03739988	428.82424958	
37.90000000	0.19124401	901.94339400	0.03749883	429.59913980	
38.00000000	0.19174861	903.58013500	0.03759777	430.37872589	
38.10000000	0.19225321	905.15771600	0.03769671	431.13013384	
38.20000000	0.19275782	906.74515800	0.03779565	431.88623863	
38.30000000	0.19326242	908.26358000	0.03789459	432.60946892	
38.40000000	0.19376702	909.89046200	0.03799353	433.38435913	
38.50000000	0.19427162	911.59622200	0.03809247	434.19681924	
38.60000000	0.19477622	913.23296300	0.03819142	434.97640533	
38.70000000	0.19528082	914.94858300	0.03829036	435.79356180	
38.80000000	0.19578543	916.84168100	0.03838930	436.69525173	
38.90000000	0.19629003	918.62632100	0.03848824	437.54528269	
39.00000000	0.19679463	920.60815800	0.03858718	438.48923934	
39.10000000	0.19729923	922.04770100	0.03868612	439.17489926	
39.20000000	0.19780383	923.66472200	0.03878507	439.94509264	
39.30000000	0.19830843	925.40006200	0.03888401	440.77164182	
39.40000000	0.19881303	926.89876500	0.03898295	441.48547988	
39.50000000	0.19931764	928.96934100	0.03908189	442.47170326	
39.60000000	0.19982224	930.61594200	0.03918083	443.25598571	
39.70000000	0.20032684	932.10478400	0.03927977	443.96512693	
39.80000000	0.20083144	933.83026400	0.03937871	444.78697976	
39.90000000	0.20133604	935.32896700	0.03947766	445.50081781	
40.00000000	0.20184064	936.86710900	0.03957660	446.23344082	
40.10000000	0.20234525	938.59258900	0.03967554	447.05529364	
40.20000000	0.20284985	939.96311300	0.03977448	447.70807954	
40.30000000	0.20335445	941.64915400	0.03987342	448.51114742	
40.40000000	0.20385905	943.53239200	0.03997236	449.40814099	
40.50000000	0.20436365	945.23815200	0.04007130	450.22060110	
40.60000000	0.20486825	947.36788700	0.04017025	451.23500214	
40.70000000	0.20537286	949.11308700	0.04026919	452.06624768	
40.80000000	0.20587746	950.80898700	0.04036813	452.87401143	
40.90000000	0.20638206	952.62320600	0.04046707	453.73813098	
41.00000000	0.20688666	954.30924700	0.04056601	454.54119886	
41.10000000	0.20739126	956.15304500	0.04066495	455.41940700	
41.20000000	0.20789586	957.75034600	0.04076389	456.18020767	
41.30000000	0.20840047	959.38708700	0.04086284	456.95979376	
41.40000000	0.20890507	960.83649100	0.04096178	457.65015051	
41.50000000	0.20940967	962.44365200	0.04106072	458.41564754	
41.60000000	0.20991427	964.07053300	0.04115966	459.19053727	
41.70000000	0.21041887	965.64811500	0.04125860	459.94194570	
41.80000000	0.21092347	967.70883100	0.04135754	460.92347273	
41.90000000	0.21142808	969.59206900	0.04145649	461.82046630	
42.00000000	0.21193268	971.21895000	0.04155543	462.59535604	
42.10000000	0.21243728	972.93457000	0.04165437	463.41251250	
42.20000000	0.21294188	974.38397300	0.04175331	464.10286878	
42.30000000	0.21344648	975.71505700	0.04185225	464.73686925	
42.40000000	0.21395108	977.51941600	0.04195119	465.59629245	
42.50000000	0.21445568	979.27447600	0.04205013	466.43223434	
42.60000000	0.21496029	980.87177700	0.04214908	467.19303501	
42.70000000	0.21546489	982.42963900	0.04224802	467.93505073	
42.80000000	0.21596949	983.86918200	0.04234696	468.62071065	
